,pred,true
2757,grey,grey
2758,VISrl,DG
2759,VISam,VISam
2760,CA1,VISrl
2761,VISam,VPM
2762,VISal,VISal
2763,VISal,VISal
2764,VISp,VISp
2765,CA1,CA1
2766,CA1,VISp
2767,APN,CA3
2768,CA1,CA1
2769,DG,DG
2770,LGd,LGd
2771,APN,APN
2772,DG,DG
2773,VISrl,VISrl
2774,grey,VISpm
2775,CA1,CA1
2776,VISp,VISmma
2777,VISp,CA1
2778,LP,LP
2779,grey,grey
2780,grey,grey
2781,LP,LGd
2782,LP,LGd
2783,VISpm,LP
2784,APN,CA2
2785,LGd,LP
2786,APN,VISrl
2787,VISal,VISal
2788,CA1,CA1
2789,VISrl,CA3
2790,grey,VISrl
2791,CA1,CA1
2792,CA1,VISp
2793,CA3,LP
2794,VISrl,MGv
2795,CA1,VISam
2796,NOT,SUB
2797,CA1,SUB
2798,APN,LP
2799,CA3,grey
2800,CA3,VISrl
2801,CA1,SUB
2802,CA1,CA1
2803,VISam,TH
2804,VISal,VISal
2805,LP,LP
2806,CA1,CA1
2807,VISpm,LP
2808,VISli,VISli
2809,DG,DG
2810,CA1,CA1
2811,CA1,VISam
2812,CA1,CA1
2813,CA1,VISli
2814,grey,LGd
2815,CA1,CA1
2816,CA3,APN
2817,CA1,CA1
2818,LP,POL
2819,VIS,CA1
2820,CA3,CA3
2821,grey,grey
2822,APN,MGm
2823,grey,grey
2824,VISp,CA1
2825,SGN,VISal
2826,VISp,VISmma
2827,APN,APN
2828,grey,grey
2829,CA1,TH
2830,VISam,VISam
2831,grey,grey
2832,CA1,VISl
2833,CA1,VISam
2834,DG,DG
2835,SCiw,grey
2836,CA1,VISl
2837,grey,PPT
2838,grey,VISrl
2839,VIS,VIS
2840,grey,grey
2841,VISmma,VISp
2842,APN,VISal
2843,CA3,VISrl
2844,grey,grey
2845,grey,VISrl
2846,grey,LGd
2847,CA3,grey
2848,SUB,CA1
2849,VISrl,VISpm
2850,grey,grey
2851,APN,VISrl
2852,APN,CA3
2853,CA1,CA1
2854,DG,DG
2855,VISp,VISp
2856,grey,grey
2857,APN,VISam
2858,CA1,CA1
2859,CA1,VISp
2860,LGd,POL
2861,APN,VISpm
2862,VISam,VISam
2863,CA1,VISam
2864,VISl,CA1
2865,VISpm,CA3
2866,CA1,VISp
2867,VISpm,DG
2868,CA1,CA1
2869,CA1,CA1
2870,CA1,VPM
2871,VISrl,VISpm
2872,VISam,VISam
2873,CA1,CA1
2874,VISal,DG
2875,VPM,VISp
2876,grey,grey
2877,VISp,VISp
2878,APN,APN
2879,grey,grey
2880,CA1,VISp
2881,VISrl,APN
2882,CA1,VISam
2883,CA1,TH
2884,VISal,SGN
2885,VISam,CA1
2886,CA1,CA1
2887,CA1,VISam
2888,CA1,VISam
2889,VISpm,APN
2890,VIS,VISp
2891,CA1,VISl
2892,CA1,CA1
2893,VISrl,LP
2894,ProS,ProS
2895,MB,MB
2896,CA1,VISl
2897,VISam,VISp
2898,CA1,CA1
2899,CA1,VISp
2900,LGd,LP
2901,grey,grey
2902,LGd,LGd
2903,CA1,CA1
2904,LP,LP
2905,LP,LP
2906,CA3,grey
2907,VISp,VISp
2908,grey,grey
2909,DG,LGv
2910,VISp,CA1
2911,CA3,grey
2912,APN,CA3
2913,APN,APN
2914,CA3,grey
2915,CA1,VISl
2916,VISal,VISal
2917,APN,grey
2918,SUB,CA1
2919,LP,VISal
2920,grey,CA3
2921,PO,PO
2922,grey,grey
2923,VISrl,CA3
2924,CA1,VISl
2925,LGd,LGd
2926,APN,VISrl
2927,VISl,VISl
2928,CA1,CA1
2929,CA1,CA1
2930,CA1,CA1
2931,VISrl,APN
2932,CA1,VISp
2933,CA1,VIS
2934,DG,VISal
2935,CA1,CA1
2936,grey,APN
2937,CA1,CA1
2938,CA1,VISl
2939,PO,PO
2940,LP,MGv
2941,CA1,VIS
2942,VISli,CA1
2943,VISmma,VISmma
2944,APN,VISrl
2945,grey,CA3
2946,VISam,VISam
2947,CA1,VISam
2948,CA1,VISmma
2949,grey,grey
2950,grey,grey
2951,CA1,CA1
2952,VISal,VISal
2953,CA1,VISp
2954,grey,grey
2955,CA3,LP
2956,CA1,CA1
2957,CA1,VISrl
2958,CA1,VISp
2959,VIS,VISp
2960,APN,VISpm
2961,VISp,SUB
2962,CA1,VISp
2963,grey,grey
2964,LP,LGd
2965,VISp,grey
2966,DG,VISrl
2967,grey,grey
2968,VISl,CA1
2969,VISp,SUB
2970,SUB,SUB
2971,MGd,MGd
2972,CA3,CA3
2973,CA1,CA1
2974,CA1,CA1
2975,VISp,VISp
2976,VISrl,APN
2977,grey,VISrl
2978,grey,NOT
2979,MB,LGd
2980,VISp,VISp
2981,DG,PIL
2982,grey,grey
2983,LP,LP
2984,CA1,TH
2985,grey,grey
2986,DG,DG
2987,grey,grey
2988,VISpm,DG
2989,CA1,VISam
2990,VISp,CA1
2991,CA1,VISl
2992,DG,MB
2993,CA1,VISl
2994,ProS,ProS
2995,LP,LP
2996,LGd,LGd
2997,CA1,VISl
2998,grey,grey
2999,CA1,VISp
3000,VISal,VISal
3001,CA1,VISam
3002,CA3,grey
3003,LP,DG
3004,VISp,CA1
3005,grey,APN
3006,APN,APN
3007,grey,grey
3008,VISam,VISp
3009,grey,grey
3010,CA1,VIS
3011,CA1,CA1
3012,DG,DG
3013,grey,VISrl
3014,grey,grey
3015,CA1,VIS
3016,VISp,VISp
3017,VISam,VISam
3018,grey,grey
3019,grey,grey
3020,VISl,VISl
3021,CA3,LP
3022,VISp,VISp
3023,APN,LGd
3024,CA1,VISmma
3025,VISal,VISal
3026,DG,DG
3027,VISal,VISal
3028,CA1,VIS
3029,CA1,CA1
3030,MB,MB
3031,DG,DG
3032,CA1,VIS
3033,CA1,CA1
3034,CA1,CA1
3035,VIS,CA1
3036,CA1,CA1
3037,VISal,VISal
3038,CA1,VISam
3039,VISam,ProS
3040,CA1,VISp
3041,VISp,CA1
3042,CA1,CA1
3043,grey,grey
3044,grey,grey
3045,grey,PIL
3046,SUB,CA1
3047,CA1,CA1
3048,VISli,VISam
3049,MGv,MGv
3050,LP,LP
3051,CA3,LGd
3052,VISal,VISal
3053,CA1,CA1
3054,CA1,VIS
3055,TH,ProS
3056,PO,PO
3057,VIS,VISli
3058,VISam,VISl
3059,APN,ProS
3060,VISrl,VISpm
3061,CA1,VISp
3062,LGd,LGd
3063,VIS,CA1
3064,grey,PPT
3065,CA3,LP
3066,CA1,CA1
3067,CA1,CA1
3068,grey,grey
3069,CA1,VISp
3070,CA1,CA1
3071,grey,grey
3072,CA1,SUB
3073,VISp,VISp
3074,APN,grey
3075,CA3,APN
3076,VISrl,CA3
3077,APN,APN
3078,VISp,VISp
3079,VISp,VPM
3080,VISp,VISp
3081,DG,DG
3082,VISal,VISal
3083,APN,VISrl
3084,grey,grey
3085,DG,DG
3086,LGd,LP
3087,CA1,CA1
3088,DG,DG
3089,CA1,VISam
3090,APN,APN
3091,VISal,VISal
3092,DG,DG
3093,VISp,VISp
3094,CA1,SUB
3095,CA1,VISam
3096,VISpm,VISrl
3097,VIS,VIS
3098,CA1,VISp
3099,grey,grey
3100,CA3,CA3
3101,CA1,CA1
3102,CA1,CA1
3103,CA1,VISl
3104,CA1,APN
3105,VISp,VISp
3106,CA1,CA1
3107,APN,APN
3108,CA1,Eth
3109,LGd,LP
3110,SCiw,CA3
3111,CA1,CA1
3112,grey,CA3
3113,LP,DG
3114,CA1,VISp
3115,grey,APN
3116,VISam,VISp
3117,VIS,PPT
3118,VISal,VISal
3119,VISp,CA1
3120,DG,DG
3121,ProS,ProS
3122,VISli,ProS
3123,MGv,MGm
3124,CA1,grey
3125,VISl,VISp
3126,CA1,VISam
3127,CA1,CA1
3128,CA1,VISl
3129,VISp,CA1
3130,VISam,VISp
3131,VISp,CA1
3132,CA3,VISrl
3133,VISal,DG
3134,grey,VISal
3135,CA1,CA1
3136,VISam,ProS
3137,VISam,VISam
3138,grey,CA3
3139,DG,DG
3140,DG,MB
3141,CA1,TH
3142,CA1,VISam
3143,LP,LP
3144,VISp,VISp
3145,VISam,MB
3146,grey,grey
3147,grey,grey
3148,CA1,Eth
3149,VISam,VISam
3150,CA1,CA1
3151,TH,VISli
3152,VISpm,grey
3153,ProS,ProS
3154,VISp,VISp
3155,CA1,VISmma
3156,grey,grey
3157,CA1,CA1
3158,CA1,VISam
3159,CA1,VIS
3160,VISal,VISal
3161,grey,CA3
3162,APN,VISli
3163,LP,CA3
3164,CA1,VIS
3165,grey,grey
3166,APN,APN
3167,grey,grey
3168,VISp,SUB
3169,LGd,grey
3170,CA1,VIS
3171,LP,LP
3172,LGd,LP
3173,APN,VISpm
3174,LP,LP
3175,VISp,VISl
3176,CA1,VISl
3177,VISal,VISal
3178,CA3,VISrl
3179,VISrl,APN
3180,VISrl,VISrl
3181,APN,APN
3182,DG,APN
3183,grey,VISpm
3184,MB,MB
3185,CA1,CA1
3186,LP,LGd
3187,grey,grey
3188,grey,grey
3189,VISrl,VISrl
3190,grey,grey
3191,PO,PO
3192,VISrl,MB
3193,CA3,VISl
3194,CA1,VISam
3195,DG,DG
3196,CA1,VISl
3197,CA1,MGd
3198,VISl,VISp
3199,CA1,CA1
3200,CA1,CA1
3201,VISp,VISp
3202,VISpm,LGv
3203,VISl,CA1
3204,grey,CA3
3205,CA1,VISp
3206,grey,VISpm
3207,CA1,CA1
3208,CA1,VIS
3209,VISpm,VISrl
3210,CA1,VISam
3211,APN,grey
3212,CA1,CA1
3213,VISam,VISam
3214,ProS,ProS
3215,grey,grey
3216,VISp,CA1
3217,APN,APN
3218,CA1,VPM
3219,CA1,VISp
3220,VIS,CA1
3221,DG,DG
3222,grey,grey
3223,DG,DG
3224,grey,APN
3225,LGd,LGd
3226,APN,VISpm
3227,VISal,VISal
3228,SUB,SUB
3229,grey,grey
3230,APN,APN
3231,CA1,VISp
3232,CA1,CA1
3233,LGd,grey
3234,CA1,VIS
3235,VISp,VISp
3236,VISal,POL
3237,DG,DG
3238,grey,NOT
3239,VISam,VISl
3240,CA1,VISl
3241,CA3,grey
3242,VISp,CA1
3243,VIS,grey
3244,MB,DG
3245,grey,CA3
3246,LP,VISpm
3247,CA3,LGd
3248,CA1,VISp
3249,VISp,SCig
3250,VISam,VISam
3251,LP,LP
3252,SUB,SUB
3253,CA1,VISl
3254,APN,MGm
3255,grey,grey
3256,CA1,VISp
3257,VISal,VISal
3258,ProS,ProS
3259,grey,APN
3260,LGd,VISrl
3261,VISrl,VISpm
3262,CA1,CA1
3263,VISam,CA1
3264,grey,grey
3265,VISal,VISal
3266,grey,grey
3267,CA1,VISp
3268,VISrl,VISpm
3269,LGd,LGd
3270,VIS,CA1
3271,VISal,LP
3272,LP,POL
3273,CA1,CA1
3274,CA1,CA1
3275,grey,grey
3276,VISam,VISmma
3277,LP,LP
3278,VISrl,VISrl
3279,DG,DG
3280,APN,grey
3281,APN,VISrl
3282,CA1,CA1
3283,grey,LGd
3284,LP,APN
3285,VISmma,VISam
3286,CA1,CA1
3287,CA1,VIS
3288,MGd,ProS
3289,DG,DG
3290,LGd,APN
3291,VISrl,VISrl
3292,LP,LGd
3293,grey,PPT
3294,LGd,grey
3295,grey,grey
3296,VISrl,VISrl
3297,CA1,CA1
3298,CA1,VIS
3299,VISrl,VISpm
3300,grey,grey
3301,grey,CA3
3302,CA1,VISam
3303,grey,grey
3304,VISpm,grey
3305,grey,VISrl
3306,VISrl,VISrl
3307,CA1,VISp
3308,VIS,VIS
3309,VISp,VISam
3310,grey,VISpm
3311,CA1,VISp
3312,CA1,SUB
